,ticker,time,timestamp,price,open,high,low,close,volume,vwap,Nasdaq_price,Nasdaq_volume
0,AAPL,2017-10-05T19:55:00,1507247700,155.235,155.24,155.24,155.23,155.24,2899,155.23521,147.505,915
1,AAPL,2017-10-05T19:50:00,1507247400,155.25,155.25,155.25,155.25,155.25,0,155.25,147.5,500
2,AAPL,2017-10-05T19:45:00,1507247100,155.25,155.25,155.25,155.25,155.25,0,155.25,147.5,0
3,AAPL,2017-10-05T19:30:00,1507246200,155.24,155.24,155.24,155.24,155.24,405,155.24,147.5,0
4,AAPL,2017-10-05T19:25:00,1507245900,155.3,155.3,155.3,155.3,155.3,500,155.3,147.5,0
5,AAPL,2017-10-05T19:15:00,1507245300,155.34,155.34,155.34,155.34,155.34,825,155.34,147.5,500
6,AAPL,2017-10-05T19:00:00,1507244400,155.32,155.34,155.34,155.3,155.3,770,155.31039,147.5,0
7,AAPL,2017-10-05T18:55:00,1507244100,155.3,155.3,155.3,155.3,155.3,286,155.3,147.5,0
8,AAPL,2017-10-05T18:50:00,1507243800,155.27,155.27,155.27,155.27,155.27,157,155.27,147.51,934
9,AAPL,2017-10-05T18:45:00,1507243500,155.34,155.34,155.34,155.34,155.34,109,155.34,147.51,0
10,AAPL,2017-10-05T18:40:00,1507243200,155.27,155.27,155.27,155.27,155.27,0,155.27,147.51,0
11,AAPL,2017-10-05T18:35:00,1507242900,155.23,155.23,155.23,155.23,155.23,300,155.23,147.51,0
12,AAPL,2017-10-05T18:30:00,1507242600,155.24,155.26,155.26,155.22,155.23,2200,155.23182,147.51,0
13,AAPL,2017-10-05T18:25:00,1507242300,155.26,155.28,155.28,155.24,155.26,430,155.26093,147.48,462
14,AAPL,2017-10-05T18:20:00,1507242000,155.29,155.28,155.3,155.28,155.3,1440,155.29861,147.46,500
15,AAPL,2017-10-05T18:15:00,1507241700,155.3,155.3,155.3,155.3,155.3,174,155.3,147.46,0
16,AAPL,2017-10-05T18:10:00,1507241400,155.285,155.3,155.3,155.27,155.3,3527,155.29852,147.46,0
17,AAPL,2017-10-05T18:00:00,1507240800,155.38,155.38,155.38,155.38,155.38,137,155.38,147.445,8002
18,AAPL,2017-10-05T17:55:00,1507240500,155.315,155.3,155.38,155.25,155.3,1499,155.28228,147.445,700
19,AAPL,2017-10-05T17:45:00,1507239900,155.3,155.3,155.3,155.3,155.3,163,155.3,147.43,100
20,AAPL,2017-10-05T17:40:00,1507239600,155.325,155.35,155.35,155.3,155.3,2497,155.33198,147.465,2498
21,AAPL,2017-10-05T17:35:00,1507239300,155.29,155.33,155.35,155.23,155.23,555,155.2909,147.465,0
22,AAPL,2017-10-05T17:30:00,1507239000,155.35,155.37,155.37,155.33,155.33,1970,155.34929,147.435,39698
23,AAPL,2017-10-05T17:20:00,1507238400,155.37,155.37,155.37,155.37,155.37,680,155.37,147.435,0
24,AAPL,2017-10-05T17:15:00,1507238100,155.37,155.37,155.37,155.37,155.37,130,155.37,147.52,700
25,AAPL,2017-10-05T17:10:00,1507237800,155.39,155.39,155.39,155.39,155.39,500,155.39,147.52,0
26,AAPL,2017-10-05T17:05:00,1507237500,155.37,155.37,155.37,155.37,155.37,1000,155.37,147.52,0
27,AAPL,2017-10-05T17:00:00,1507237200,155.39,155.39,155.39,155.39,155.39,513,155.39,147.52,0
28,AAPL,2017-10-05T16:50:00,1507236600,155.37,155.37,155.37,155.37,155.37,200,155.37,147.505,5799
29,AAPL,2017-10-05T16:45:00,1507236300,155.33,155.34,155.34,155.32,155.34,5550,155.3382,147.505,0
30,AAPL,2017-10-05T16:40:00,1507236000,155.34,155.31,155.37,155.31,155.37,630,155.31952,147.53,100
31,AAPL,2017-10-05T16:35:00,1507235700,155.385,155.37,155.4,155.37,155.4,1720,155.39826,147.55,515
32,AAPL,2017-10-05T16:30:00,1507235400,155.34,155.35,155.37,155.31,155.37,2668,155.34328,147.545,897511
33,AAPL,2017-10-05T16:25:00,1507235100,155.35,155.31,155.39,155.31,155.39,1153,155.37092,147.52,12525
34,AAPL,2017-10-05T16:20:00,1507234800,155.335,155.37,155.37,155.3,155.3,1500,155.34934,147.51,1300
35,AAPL,2017-10-05T16:15:00,1507234500,155.38,155.35,155.41,155.35,155.37,4348,155.36667,147.52,14049
36,AAPL,2017-10-05T16:10:00,1507234200,155.4,155.42,155.42,155.38,155.38,3067,155.39446,147.57,39313
37,AAPL,2017-10-05T16:05:00,1507233900,155.405,155.41,155.42,155.39,155.39,1298,155.41077,147.585,87257
38,AAPL,2017-10-05T16:00:00,1507233600,155.21,155.39,155.41,155.01,155.35,1882979,155.37907,147.475,697779
39,AAPL,2017-10-05T15:55:00,1507233300,155.33,155.29,155.4,155.26,155.4,820952,155.35171,147.435,1991809
40,AAPL,2017-10-05T15:50:00,1507233000,155.285,155.35,155.35,155.22,155.29,333427,155.28089,147.415,734183
41,AAPL,2017-10-05T15:45:00,1507232700,155.35,155.35,155.4,155.3,155.355,257275,155.35325,147.47,645161
42,AAPL,2017-10-05T15:40:00,1507232400,155.35,155.39,155.4,155.3,155.36,224194,155.34258,147.435,529347
43,AAPL,2017-10-05T15:35:00,1507232100,155.3525,155.3299,155.42,155.285,155.3931,328107,155.34803,147.41,406529
44,AAPL,2017-10-05T15:30:00,1507231800,155.285,155.2637,155.35,155.22,155.33,215635,155.29162,147.365,659954
45,AAPL,2017-10-05T15:25:00,1507231500,155.295,155.36,155.36,155.23,155.26,209559,155.29793,147.443,467625
46,AAPL,2017-10-05T15:20:00,1507231200,155.355,155.32,155.44,155.27,155.36,239551,155.35087,147.4725,574576
47,AAPL,2017-10-05T15:15:00,1507230900,155.295,155.27,155.34,155.25,155.325,235955,155.29222,147.41,420734
48,AAPL,2017-10-05T15:10:00,1507230600,155.265,155.25,155.33,155.2,155.27,190559,155.25772,147.42,328790
49,AAPL,2017-10-05T15:05:00,1507230300,155.31005,155.365,155.39,155.2301,155.248,189865,155.28341,147.475,383168
50,AAPL,2017-10-05T15:00:00,1507230000,155.29455,155.25,155.395,155.1941,155.375,381288,155.28514,147.465,781192
51,AAPL,2017-10-05T14:55:00,1507229700,155.15,155.05,155.25,155.05,155.25,216558,155.17221,147.33,502894
52,AAPL,2017-10-05T14:50:00,1507229400,155.0775,155.0625,155.115,155.04,155.0502,88615,155.06885,147.26,328830
53,AAPL,2017-10-05T14:45:00,1507229100,155.085,155.08,155.12,155.05,155.06,86847,155.08429,147.27,203181
54,AAPL,2017-10-05T14:40:00,1507228800,155.075,155.06,155.12,155.03,155.075,140079,155.08199,147.2575,284042
55,AAPL,2017-10-05T14:35:00,1507228500,155.0079,154.96,155.0599,154.9559,155.0507,176412,155.01304,147.2,136032
56,AAPL,2017-10-05T14:30:00,1507228200,154.905,154.86,154.97,154.84,154.961,129050,154.92329,147.145,150555
57,AAPL,2017-10-05T14:25:00,1507227900,154.8485,154.825,154.877,154.82,154.85,75611,154.84801,147.125,143436
