ticker,time,timestamp,price,open,high,low,close,volume,vwap,Nasdaq_price,Nasdaq_volume
AAPL,2017-10-05T19:55:00,1507247700,155.235,155.24,155.24,155.23,155.24,2899,155.23521,147.505,915
AAPL,2017-10-05T19:50:00,1507247400,155.25,155.25,155.25,155.25,155.25,100,155.25,147.5,500
AAPL,2017-10-05T19:45:00,1507247100,155.25,155.25,155.25,155.25,155.25,100,155.25,,
AAPL,2017-10-05T19:30:00,1507246200,155.24,155.24,155.24,155.24,155.24,405,155.24,,
AAPL,2017-10-05T19:25:00,1507245900,155.3,155.3,155.3,155.3,155.3,500,155.3,,
AAPL,2017-10-05T19:15:00,1507245300,155.34,155.34,155.34,155.34,155.34,825,155.34,147.5,500
AAPL,2017-10-05T19:00:00,1507244400,155.32,155.34,155.34,155.3,155.3,770,155.31039,,
AAPL,2017-10-05T18:55:00,1507244100,155.3,155.3,155.3,155.3,155.3,286,155.3,,
AAPL,2017-10-05T18:50:00,1507243800,155.27,155.27,155.27,155.27,155.27,157,155.27,147.51,934
AAPL,2017-10-05T18:45:00,1507243500,155.34,155.34,155.34,155.34,155.34,109,155.34,,
AAPL,2017-10-05T18:40:00,1507243200,155.27,155.27,155.27,155.27,155.27,100,155.27,,
AAPL,2017-10-05T18:35:00,1507242900,155.23,155.23,155.23,155.23,155.23,300,155.23,,
AAPL,2017-10-05T18:30:00,1507242600,155.24,155.26,155.26,155.22,155.23,2200,155.23182,,
AAPL,2017-10-05T18:25:00,1507242300,155.26,155.28,155.28,155.24,155.26,430,155.26093,147.48,462
AAPL,2017-10-05T18:20:00,1507242000,155.29000000000002,155.28,155.3,155.28,155.3,1440,155.29861,147.46,500
AAPL,2017-10-05T18:15:00,1507241700,155.3,155.3,155.3,155.3,155.3,174,155.3,,
AAPL,2017-10-05T18:10:00,1507241400,155.28500000000003,155.3,155.3,155.27,155.3,3527,155.29852,,
AAPL,2017-10-05T18:00:00,1507240800,155.38,155.38,155.38,155.38,155.38,137,155.38,147.445,8002
AAPL,2017-10-05T17:55:00,1507240500,155.315,155.3,155.38,155.25,155.3,1499,155.28228,147.445,700
AAPL,2017-10-05T17:45:00,1507239900,155.3,155.3,155.3,155.3,155.3,163,155.3,147.43,100
AAPL,2017-10-05T17:40:00,1507239600,155.325,155.35,155.35,155.3,155.3,2497,155.33198,147.465,2498
AAPL,2017-10-05T17:35:00,1507239300,155.29,155.33,155.35,155.23,155.23,555,155.2909,,
AAPL,2017-10-05T17:30:00,1507239000,155.35000000000002,155.37,155.37,155.33,155.33,1970,155.34929,147.435,39698
AAPL,2017-10-05T17:20:00,1507238400,155.37,155.37,155.37,155.37,155.37,680,155.37,,
AAPL,2017-10-05T17:15:00,1507238100,155.37,155.37,155.37,155.37,155.37,130,155.37,147.52,700
AAPL,2017-10-05T17:10:00,1507237800,155.39,155.39,155.39,155.39,155.39,500,155.39,,
AAPL,2017-10-05T17:05:00,1507237500,155.37,155.37,155.37,155.37,155.37,1000,155.37,,
AAPL,2017-10-05T17:00:00,1507237200,155.39,155.39,155.39,155.39,155.39,513,155.39,,
AAPL,2017-10-05T16:50:00,1507236600,155.37,155.37,155.37,155.37,155.37,200,155.37,147.505,5799
AAPL,2017-10-05T16:45:00,1507236300,155.32999999999998,155.34,155.34,155.32,155.34,5550,155.3382,,
AAPL,2017-10-05T16:40:00,1507236000,155.34,155.31,155.37,155.31,155.37,630,155.31952,147.53,100
AAPL,2017-10-05T16:35:00,1507235700,155.385,155.37,155.4,155.37,155.4,1720,155.39826,147.55,515
AAPL,2017-10-05T16:30:00,1507235400,155.34,155.35,155.37,155.31,155.37,2668,155.34328,147.54500000000002,897511
